,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,3,44,12,27.3,1.24,0.34,0.07,0.25,0,0,0,2.7,2.7,0.06,0.3,0.3,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,21,118,41,34.7,4.32,1.5,0.16,0.46,3,2,2,20.7,19.2,0.16,0.3,-0.2,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,4,22,8,36.4,0.58,0.21,0.18,0.5,0,0,0,3.4,3.4,0.15,0.6,0.6,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,2,19,7,36.8,1.05,0.39,0.11,0.29,0,0,0,1.1,1.1,0.06,0.9,0.9,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,0,17,6,35.3,0.52,0.18,0,0,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,1,29,9,31,1.06,0.33,0.03,0.11,9,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,5,40,18,45,1.97,0.89,0.13,0.28,1,0,0,5.3,5.3,0.13,-0.3,-0.3,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,0,19,8,42.1,2.25,0.95,0,0,0,0,0,1.7,1.6,0.09,-1.7,-1.6,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,2,43,7,16.3,1.4,0.23,0.05,0.29,8,0,0,2.7,2.7,0.06,-0.7,-0.7,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,0,4,1,25,0.56,0.14,0,0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
13,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,33.8,9,58,24,41.4,1.72,0.71,0.16,0.38,5,0,0,5.2,5.2,0.09,3.8,3.8,Matches
14,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,9.8,3,19,7,36.8,1.94,0.72,0.16,0.43,0,0,0,2.2,2.2,0.12,0.8,0.8,Matches
15,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,23.4,6,65,25,38.5,2.78,1.07,0.09,0.24,0,0,0,7.4,7.4,0.11,-1.4,-1.4,Matches
16,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,15.9,3,32,12,37.5,2.01,0.75,0.09,0.25,0,0,0,2.3,2.3,0.07,0.7,0.7,Matches
17,Marko Arnautovi?\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,22.1,10,62,30,48.4,2.8,1.36,0.15,0.3,3,1,1,9.5,8.7,0.14,0.5,0.3,Matches
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
19,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,22.2,0,23,4,17.4,1.04,0.18,0,0,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
20,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,1,28,14,50,1.69,0.84,0.04,0.07,0,0,0,2,2,0.07,-1,-1,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,22,89,34,38.2,2.94,1.12,0.2,0.53,0,4,5,20.8,16.8,0.19,1.2,1.2,Matches
22,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,6.3,0,4,1,25,0.64,0.16,0,0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
23,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,10.9,2,33,8,24.2,3.02,0.73,0.06,0.25,0,0,1,3.6,2.9,0.09,-1.6,-0.9,Matches
24,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,13.1,1,26,3,11.5,1.98,0.23,0.04,0.33,0,0,0,2.3,2.3,0.09,-1.3,-1.3,Matches
25,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,5.3,1,7,1,14.3,1.32,0.19,0.14,1,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
26,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,37.8,1,17,7,41.2,0.45,0.19,0.06,0.14,0,0,0,0.9,0.9,0.05,0.1,0.1,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,13.9,5,25,9,36,1.8,0.65,0.2,0.56,0,0,0,4.7,4.7,0.19,0.3,0.3,Matches
28,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,15.7,1,17,8,47.1,1.08,0.51,0.06,0.13,2,0,0,0.5,0.5,0.03,0.5,0.5,Matches
29,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,6.2,0,5,1,20,0.8,0.16,0,0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,7.1,0,3,1,33.3,0.42,0.14,0,0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,4.2,0,2,1,50,0.48,0.24,0,0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,22.4,1,17,2,11.8,0.76,0.09,0.06,0.5,0,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches
33,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,6.6,1,3,1,33.3,0.45,0.15,0.33,1,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches
34,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,27.5,4,21,8,38.1,0.76,0.29,0.19,0.5,0,0,0,2.6,2.6,0.13,1.4,1.4,Matches
35,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,18.6,0,12,1,8.3,0.65,0.05,0,0,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
36,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,13.8,3,38,8,21.1,2.75,0.58,0.08,0.38,1,0,0,3.8,3.8,0.1,-0.8,-0.8,Matches
37,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,28,1989,26.5,12,61,27,44.3,2.3,1.02,0.16,0.37,0,2,2,12,10.4,0.17,0,-0.4,Matches
38,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,11.2,1,39,11,28.2,3.5,0.99,0.03,0.09,0,0,0,3.2,3.2,0.08,-2.2,-2.2,Matches
39,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,8.3,5,26,10,38.5,3.12,1.2,0.19,0.5,0,0,0,3.5,3.5,0.14,1.5,1.5,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,23.9,0,6,1,16.7,0.25,0.04,0,0,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
42,Asmir Begovi?\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
43,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,17,0,18,4,22.2,1.06,0.23,0,0,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
44,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,29.3,0,10,3,30,0.34,0.1,0,0,3,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
45,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34,1,15,3,20,0.44,0.09,0.07,0.33,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,9,1,29,8,27.6,3.21,0.88,0.03,0.13,0,0,0,3.3,3.3,0.11,-2.3,-2.3,Matches
