,,Performance,Performance,Performance,Performance,Performance,Performance
Player,Squad,CrdY,CrdR,Fls,Off,OG,Recov
Patrick van Aanholt\Patrick-van-Aanholt,Crystal Palace,3,0,12,11,0,331
Sergio Agüero\Sergio-Aguero,Manchester City,4,0,22,26,0,129
Nathan Aké\Nathan-Ake,Bournemouth,3,0,28,2,0,353
Marc Albrighton\Marc-Albrighton,Leicester City,3,0,10,2,0,157
Toby Alderweireld\Toby-Alderweireld,Tottenham,3,0,10,1,1,356
Trent Alexander-Arnold\Trent-Alexander-Arnold,Liverpool,3,0,14,4,0,290
Alisson\Alisson,Liverpool,1,0,0,0,0,223
Dele Alli\Dele-Alli,Tottenham,4,0,23,3,0,180
Miguel Almirón\Miguel-Almiron,Newcastle Utd,0,0,6,4,0,84
Marcos Alonso\Marcos-Alonso,Chelsea,6,0,28,2,0,353
Daniel Amartey\Daniel-Amartey,Leicester City,2,0,6,1,0,92
Luke Amos\Luke-Amos,Tottenham,0,0,0,0,0,1
Felipe Anderson\Felipe-Anderson,West Ham,3,0,27,5,0,295
Florin Andone\Florin-Andone,Brighton,5,0,28,4,0,53
Michail Antonio\Michail-Antonio,West Ham,3,0,35,10,0,154
Stuart Armstrong\Stuart-Armstrong,Southampton,2,0,19,3,0,125
Marko Arnautovi?\Marko-Arnautovic,West Ham,3,0,31,21,0,79
Kepa Arrizabalaga\Kepa-Arrizabalaga,Chelsea,2,0,0,0,0,162
Harry Arter\Harry-Arter,Cardiff City,10,0,25,2,0,228
Christian Atsu\Christian-Atsu,Newcastle Utd,2,0,14,4,0,127
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,Arsenal,0,0,13,23,0,100
Serge Aurier\Serge-Aurier,Tottenham,1,0,17,1,0,72
Charlie Austin\Charlie-Austin,Southampton,1,0,14,9,0,50
Jordan Ayew\Jordan-Ayew,Crystal Palace,3,0,32,9,0,58
Floyd Ayité\Floyd-Ayite,Fulham,0,0,6,4,0,47
César Azpilicueta\Cesar-Azpilicueta,Chelsea,4,0,40,2,0,411
Ryan Babel\Ryan-Babel,Fulham,3,0,15,9,0,66
Juninho Bacuna\Juninho-Bacuna,Huddersfield,4,0,34,1,0,184
Leandro Bacuna\Leandro-Bacuna,Cardiff City,2,0,13,0,0,77
Eric Bailly\Eric-Bailly,Manchester Utd,0,1,5,0,0,70
Leighton Baines\Leighton-Baines,Everton,0,0,2,1,0,31
Fabián Balbuena\Fabian-Balbuena,West Ham,2,0,19,0,0,222
Leon Balogun\Leon-Balogun,Brighton,2,0,5,1,0,61
Sol Bamba\Sol-Bamba,Cardiff City,7,0,35,3,0,315
Phil Bardsley\Phil-Bardsley,Burnley,9,0,22,0,1,189
Ross Barkley\Ross-Barkley,Chelsea,1,0,14,0,0,136
Ashley Barnes\Ashley-Barnes,Burnley,8,0,53,23,1,134
Harvey Barnes\Harvey-Barnes,Leicester City,0,0,7,2,0,65
Antonio Barreca\Antonio-Barreca,Newcastle Utd,0,0,0,0,0,0
Michy Batshuayi\Michy-Batshuayi,Crystal Palace,0,0,7,13,0,50
Jan Bednarek\Jan-Bednarek,Southampton,7,0,22,0,0,286
Asmir Begovi?\Asmir-Begovic,Bournemouth,0,0,0,0,0,117
Héctor Bellerín\Hector-Bellerin,Arsenal,3,0,16,2,1,153
Joe Bennett\Joe-Bennett,Cardiff City,5,0,21,1,0,296
Ryan Bennett\Ryan-Bennett,Wolves,12,0,37,1,0,328
Christian Benteke\Christian-Benteke,Crystal Palace,1,0,18,10,0,38
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,Burnley,2,0,10,2,0,145
Bernard\Bernard,Everton,5,0,17,2,0,199
Bernardo\Bernardo,Brighton,4,0,18,2,0,214
Ryan Bertrand\Ryan-Bertrand,Southampton,8,0,27,0,0,205
Marcus Bettinelli\Marcus-Bettinelli,Fulham,1,0,0,0,0,32
Philip Billing\Philip-Billing,Huddersfield,7,0,38,2,0,319
Yves Bissouma\Yves-Bissouma,Brighton,5,0,40,2,0,181
Willy Boly\Willy-Boly,Wolves,2,1,29,3,0,386
Léo Bonatini\Leo-Bonatini,Wolves,0,0,0,0,0,12
Gaëtan Bong\Gaetan-Bong,Brighton,0,0,11,0,0,197
Artur Boruc\Artur-Boruc,Bournemouth,2,0,0,0,0,61
Robbie Brady\Robbie-Brady,Burnley,3,1,12,0,0,71
Miguel Britos\Miguel-Britos,Watford,0,0,3,0,0,21
David Brooks\David-Brooks,Bournemouth,3,0,15,2,0,165
Bruno\Bruno,Brighton,2,0,4,3,0,97
Joe Bryan\Joe-Bryan,Fulham,5,0,25,2,0,233
David Button\David-Button,Brighton,0,0,0,0,0,17
Willy Caballero\Willy-Caballero,Chelsea,0,0,0,0,0,3
Gary Cahill\Gary-Cahill,Chelsea,0,0,0,0,0,5
Tom Cairney\Tom-Cairney,Fulham,0,0,11,0,0,185
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,Everton,3,0,34,6,0,86
Rafael Camacho\Rafael-Camacho,Liverpool,0,0,0,0,0,0
Víctor Camarasa\Victor-Camarasa,Cardiff City,6,0,25,1,0,272
Étienne Capoue\Etienne-Capoue,Watford,14,1,47,0,0,466
Andy Carroll\Andy-Carroll,West Ham,2,0,11,3,0,25
Jonny Castro\Jonny-Castro,Wolves,6,0,23,5,0,264
Craig Cathcart\Craig-Cathcart,Watford,2,0,18,1,2,381
Ivan Cavaleiro\Ivan-Cavaleiro,Wolves,1,0,13,6,0,48
Petr ?ech\Petr-Cech,Arsenal,0,0,0,0,0,31
Nathaniel Chalobah\Nathaniel-Chalobah,Watford,2,0,5,0,0,43
Calum Chambers\Calum-Chambers,Fulham,9,0,35,0,0,390
Ben Chilwell\Ben-Chilwell,Leicester City,4,0,32,2,0,348
Tahith Chong\Tahith-Chong,Manchester Utd,0,0,0,0,0,2
Hamza Choudhury\Hamza-Choudhury,Leicester City,0,0,7,0,0,56
Andreas Christensen\Andreas-Christensen,Chelsea,1,0,8,0,0,86
Cyrus Christie\Cyrus-Christie,Fulham,7,0,29,2,0,199
Ibrahima Cissé\Ibrahima-Cisse,Fulham,0,0,1,0,0,12
Ciaran Clark\Ciaran-Clark,Newcastle Utd,1,0,6,0,0,106
Tom Cleverley\Tom-Cleverley,Watford,2,0,8,1,0,58
Nathaniel Clyne\Nathaniel-Clyne,Bournemouth,2,0,9,0,0,119
Conor Coady\Conor-Coady,Wolves,5,0,11,0,3,357
Joel Coleman\Joel-Coleman,Huddersfield,0,0,0,0,0,9
Séamus Coleman\Seamus-Coleman,Everton,1,0,22,3,1,317
Lewis Cook\Lewis-Cook,Bournemouth,2,0,12,0,0,97
Steve Cook\Steve-Cook,Bournemouth,3,0,18,1,1,343
Jack Cork\Jack-Cork,Burnley,6,0,32,4,0,423
Hélder Costa\Helder-Costa,Wolves,3,0,20,6,0,92
Aaron Cresswell\Aaron-Cresswell,West Ham,1,0,2,1,0,167
Peter Crouch\Peter-Crouch,Burnley,1,0,3,0,0,2
