,,Total,Total,Total,Total,Total,,,,,,,,,
Player,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
Patrick van Aanholt\Patrick-van-Aanholt,Crystal Palace,1587,1962,80.9,26851,11857,2,3.9,-1.9,34,115,63,9,292,Matches
Sergio Agüero\Sergio-Aguero,Manchester City,665,785,84.7,9245,1686,8,5.5,2.5,34,37,44,1,68,Matches
Nathan Aké\Nathan-Ake,Bournemouth,1469,1701,86.4,30143,10917,0,0.8,-0.8,5,92,7,3,91,Matches
Marc Albrighton\Marc-Albrighton,Leicester City,459,776,59.1,8932,3604,2,3.1,-1.1,30,48,29,12,101,Matches
Toby Alderweireld\Toby-Alderweireld,Tottenham,2067,2342,88.3,50426,14985,0,0.6,-0.6,7,193,23,1,133,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,Liverpool,1644,2213,74.3,34938,13658,12,6.1,5.9,48,129,59,25,322,Matches
Alisson\Alisson,Liverpool,1039,1262,82.3,30318,16760,0,0,0,0,12,0,0,0,Matches
Dele Alli\Dele-Alli,Tottenham,843,1050,80.3,13914,3358,3,2.4,0.6,28,81,32,2,99,Matches
Miguel Almirón\Miguel-Almiron,Newcastle Utd,188,260,72.3,3320,863,0,0.8,-0.8,12,16,14,9,28,Matches
Marcos Alonso\Marcos-Alonso,Chelsea,1838,2226,82.6,29324,9874,4,3.9,0.1,31,114,23,9,175,Matches
Daniel Amartey\Daniel-Amartey,Leicester City,354,433,81.8,6665,2943,0,0.2,-0.2,3,31,0,0,42,Matches
Luke Amos\Luke-Amos,Tottenham,1,2,50,13,3,0,0,0,0,0,0,0,0,Matches
Felipe Anderson\Felipe-Anderson,West Ham,1328,1819,73,22850,7749,4,6.7,-2.7,60,109,89,13,223,Matches
Florin Andone\Florin-Andone,Brighton,122,180,67.8,1667,216,0,0.1,-0.1,2,4,2,1,6,Matches
Michail Antonio\Michail-Antonio,West Ham,513,777,66,8177,2307,4,3.4,0.6,20,43,19,8,76,Matches
Stuart Armstrong\Stuart-Armstrong,Southampton,498,652,76.4,8420,2162,2,1.4,0.6,28,39,26,2,71,Matches
Marko Arnautovi?\Marko-Arnautovic,West Ham,496,655,75.7,7602,1359,4,3.6,0.4,33,21,17,2,46,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,Chelsea,974,1136,85.7,27156,14923,0,0,0,0,3,0,0,1,Matches
Harry Arter\Harry-Arter,Cardiff City,534,689,77.5,9771,2810,1,0.7,0.3,12,58,20,4,82,Matches
Christian Atsu\Christian-Atsu,Newcastle Utd,335,454,73.8,5193,1161,0,1.2,-1.2,14,23,17,5,31,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,Arsenal,526,742,70.9,7324,1884,5,4.2,0.8,33,28,33,4,68,Matches
Serge Aurier\Serge-Aurier,Tottenham,253,343,73.8,4361,1788,2,0.5,1.5,5,9,11,7,40,Matches
Charlie Austin\Charlie-Austin,Southampton,127,208,61.1,2051,287,2,0.4,1.6,9,4,4,0,9,Matches
Jordan Ayew\Jordan-Ayew,Crystal Palace,201,273,73.6,2823,526,2,1.1,0.9,13,11,6,0,16,Matches
Floyd Ayité\Floyd-Ayite,Fulham,159,209,76.1,2483,725,0,0.3,-0.3,8,11,7,1,24,Matches
