,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,36,3195,89,93.4,35.5,36,89,0,,2,1.19,44,47,-3,-0.08,-0.48,45.8,44.2,1.5,0.04,0,Matches
2,Adrián\Adrian,es ESP,GK,West Ham,31,1987,0,,,,,0,,0,,38,,,,,,,,,,,,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,33,2459,75,71.9,27.3,31,78,2,27,1,2.61,72,15,57,2.09,0.68,60.3,18.9,41.3,1.51,0.1,Matches
4,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,38,3411,90,99.7,37.9,38,90,0,,0,1.18,56,70,-14,-0.37,-0.37,53.2,55.7,-2.5,-0.07,0.21,Matches
5,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,27,1625,60,47.5,18.1,18,78,9,25,2,1.37,18,17,1,0.06,-0.04,19.6,23,-3.4,-0.19,-0.7,Matches
6,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,34,2922,86,85.4,32.5,33,88,1,19,3,1.91,56,31,25,0.77,0.23,48.4,37.2,11.2,0.34,0.51,Matches
7,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,2462,85,72,27.4,27,88,2,40,4,2.69,67,14,53,1.94,0.62,58.3,22.2,36.1,1.32,0.62,Matches
8,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,3420,90,100,38,38,90,0,,0,2.55,89,22,67,1.76,,73.4,29.9,43.5,1.15,,Matches
9,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,25,1825,73,53.4,20.3,22,81,3,13,0,1.72,32,21,11,0.54,-0.42,29.8,21.1,8.7,0.43,0.35,Matches
