first_name,second_name,total_points
Tammy,Abraham,0
Fabricio,Agosto Ramírez,8
Sergio,Agüero,201
Nathan,Aké,120
Marc,Albrighton,63
Toby,Alderweireld,107
Trent,Alexander-Arnold,185
Dele,Alli,94
Miguel,Almirón,28
Marcos,Alonso,161
Daniel,Amartey,15
Luke,Amos,1
Ethan,Ampadu,0
Florin,Andone,38
Bernard,,88
Michail,Antonio,118
Stuart,Armstrong,75
Marko,Arnautovic,117
Kepa,Arrizabalaga,142
Harry,Arter,48
Christian,Atsu,55
Pierre-Emerick,Aubameyang,205
Serge,Aurier,24
Charlie,Austin,46
Jordan,Ayew,46
Floyd,Ayité,24
César,Azpilicueta,158
Ryan,Babel,75
Leandro,Bacuna,17
Juninho,Bacuna,39
Eric,Bailly,16
Leighton,Baines,7
Tiemoué,Bakayoko,0
Fabián,Balbuena,61
Sam,Baldock,0
Leon,Balogun,15
Sol,Bamba,95
Beni,Baningime,0
Ricardo,Pereira,146
Phil,Bardsley,33
Ross,Barkley,79
Ashley,Barnes,122
Harvey,Barnes,43
Antonio,Barreca,1
Michy,Batshuayi,48
Danny,Batth,0
Jan,Bednarek,49
Asmir,Begovic,63
Héctor,Bellerín,60
Yohan,Benalouane,0
Filip,Benkovic,0
Joe,Bennett,77
Ryan,Bennett,89
Josh,Benson,0
Christian,Benteke,33
Ryan,Bertrand,56
Marcus,Bettinelli,15
Philip,Billing,63
Yves,Bissouma,43
Daley,Blind,0
Omar,Bogle,0
Yannick,Bolasie,0
Willy,Boly,120
Léo,Bonatini,10
Gaëtan,Bong,48
Willian,,108
Artur,Boruc,46
Sofiane,Boufal,0
Robbie,Brady,20
Claudio,Bravo,0
Miguel,Britos,3
David,Brooks,123
Tyias,Browning,0
Joe,Bryan,52
Dan,Burn,0
Matt,Butcher,0
David,Button,15
Sam,Byram,0
Willy,Caballero,13
Gary,Cahill,2
Tom,Cairney,71
Dominic,Calvert-Lewin,92
Rafael,Camacho,1
Víctor,Camarasa,106
Étienne,Capoue,79
Guido,Carrillo,0
Andy,Carroll,12
Lewis,Cass,0
Jonny,Castro,103
Craig,Cathcart,93
Ivan,Cavaleiro,48
Petr,Cech,24
Nathaniel,Chalobah,10
Calum,Chambers,60
Ben,Chilwell,118
Tahith,Chong,2
Hamza,Choudhury,20
Andreas,Christensen,22
Cyrus,Christie,42
Ibrahima,Cissé,4
Ciaran,Clark,42
Tom,Cleverley,25
Nathaniel,Clyne,34
Conor,Coady,94
Séamus,Coleman,125
Joel,Coleman,2
Matthew,Connolly,0
Steve,Cook,85
Lewis,Cook,22
Jack,Cork,87
Hélder,Costa,52
Xande,Silva,1
Thibaut,Courtois,0
Conor,Coventry,0
Aaron,Cresswell,34
Peter,Crouch,8
Greg,Cunninghamm,9
Rui Pedro,da Rocha Fonte,0
Danilo,,46
Rúben,Neves,104
Pontus,Dahlberg,0
Diogo,Dalot,27
Matthew,Daly,2
Loïc,Damour,2
Charlie,Daniels,44
Scott,Dann,23
Karl,Darlow,0
Matteo,Darmian,14
Tom,Davies,26
Ben,Davies,66
Steven,Davis,9
Richarlison,,153
Kevin,De Bruyne,59
David,de Gea,120
Gabriel,Jesus,79
Luca,De La Torre,0
Troy,Deeney,116
Jermain,Defoe,4
Steven,Defour,10
Fabian,Delph,29
Mousa,Dembélé,14
Leander,Dendoncker,48
Laurent,Depoitre,34
Gerard,Deulofeu,133
Fousseni,Diabaté,1
Adama,Diakhaby,19
Mohamed,Diamé,56
Grady,Diangana,25
Brahim,Diaz,0
Eric,Dier,56
Lucas,Digne,158
Issa,Diop,87
Matt,Doherty,144
Rui,Patrício,118
Abdoulaye,Doucouré,124
Barry,Douglas,0
Kieran,Dowell,0
Luke,Dreher,1
Daniel,Drinkwater,0
Anthony,Driscoll-Glennon,0
Martin,Dúbravka,131
Shane,Duffy,115
Demeaco,Duhaney,1
Paul,Dummett,67
Lewis,Dunk,91
Erik,Durm,49
Bruno,Ecuele Manga,97
Robert,Elliot,0
Harvey,Elliott,2
Mohamed,Elneny,10
Mohamed,Elyounoussi,28
Bright,Enobakhare,0
Christian,Eriksen,161
Neil,Etheridge,154
Jonny,Evans,77
Timothy,Eyoma,0
Lukasz,Fabianski,143
Cesc,Fàbregas,6
Marouane,Fellaini,26
Kiko,Femenía,66
Edimilson,Fernandes,0
Bernardo,,39
Federico,Fernández,47
