Player,Pos,90s,xA,xG,Recov,CrsPA,Tkl,TklW
Patrick van Aanholt\Patrick-van-Aanholt,DF,27.9,3.1,2.3,243,5,51,32
Max Aarons\Max-Aarons,DF,36,3.4,0.5,281,13,64,36
Tammy Abraham\Tammy-Abraham,FW,24.6,2.6,14.5,95,0,14,10
Che Adams\Che-Adams,FW,12.3,1.3,4.2,73,0,8,6
Adrián\Adrian,GK,9.7,0,0,47,0,0,0
Sergio Agüero\Sergio-Aguero,FW,16.1,2.4,13.8,61,0,7,5
Albian Ajeti\Albian-Ajeti,MFFW,1.5,0.1,0.1,4,0,1,0
Nathan Aké\Nathan-Ake,DF,27.8,0.5,2.5,247,0,25,11
Marc Albrighton\Marc-Albrighton,MFDF,9.6,1.9,0.6,90,9,23,11
Toby Alderweireld\Toby-Alderweireld,DF,32.9,1.1,1.1,322,1,44,24
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,35.3,9.7,2.9,352,30,58,25
Alisson\Alisson,GK,28.3,0.4,0,153,0,0,0
Dele Alli\Dele-Alli,MFFW,20.5,2,6.9,157,0,41,29
Miguel Almirón\Miguel-Almiron,MFFW,33.6,1.4,6.4,228,4,62,36
Marcos Alonso\Marcos-Alonso,DF,15.9,2,2,183,14,27,19
Steven Alzate\Steven-Alzate,MFDF,13.2,0.7,1.2,137,2,28,23
Ibrahim Amadou\Ibrahim-Amadou,DFMF,8.4,0,1,75,0,21,7
Felipe Anderson\Felipe-Anderson,MFFW,16.6,2.9,2.5,135,6,45,30
Florin Andone\Florin-Andone,MFFW,0.8,0,0.1,7,0,2,2
Angeliño\Angelino,DF,4.7,1.2,0.2,49,7,8,5
Faustino Anjorin\Faustino-Anjorin,FW,0.2,0,0,1,0,1,0
Michail Antonio\Michail-Antonio,FW,19.6,2.9,11.6,95,8,14,10
Stuart Armstrong\Stuart-Armstrong,MF,19.1,1.1,2.8,168,4,49,25
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,33,0,0,138,0,0,0
Christian Atsu\Christian-Atsu,FWMF,8.3,0.9,0.2,50,4,12,9
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,34.8,3,15.7,125,14,39,24
Serge Aurier\Serge-Aurier,DF,30,3,0.5,320,16,98,55
Jordan Ayew\Jordan-Ayew,FWMF,35,1.9,6.3,212,0,54,29
César Azpilicueta\Cesar-Azpilicueta,DF,35.9,5.7,2.7,380,28,102,61
Eric Bailly\Eric-Bailly,DF,1.7,0,0,22,0,0,0
Leighton Baines\Leighton-Baines,DF,4.5,0.8,0,29,5,10,6
Fabián Balbuena\Fabian-Balbuena,DF,13.1,0,1.8,142,0,18,11
George Baldock\George-Baldock,DF,38,2.5,0.9,303,28,74,45
Phil Bardsley\Phil-Bardsley,DF,21,0.7,0.2,197,2,55,33
Ross Barkley\Ross-Barkley,MF,12.3,2.7,2.1,97,1,16,11
Ashley Barnes\Ashley-Barnes,FW,15,0.5,5.6,65,0,6,4
Harvey Barnes\Harvey-Barnes,MFFW,23.1,3.5,8.6,118,3,22,12
Chris Basham\Chris-Basham,DF,36,1,0.5,412,7,84,50
Borja Bastón\Borja-Baston,MFFW,0.2,0,0,2,0,0,0
Michy Batshuayi\Michy-Batshuayi,FW,2.7,0.2,2.2,17,0,2,1
Jan Bednarek\Jan-Bednarek,DF,34,0.1,0.9,401,0,70,38
Héctor Bellerín\Hector-Bellerin,DF,12.9,0.3,0.5,100,2,23,16
Ryan Bennett\Ryan-Bennett,DF,6.7,0.1,0,66,0,4,3
Ryan Bennett\Ryan-Bennett,DF,3.7,0,0,43,1,5,2
Nabil Bentaleb\Nabil-Bentaleb,MF,8.3,0.2,0.1,109,1,30,23
Christian Benteke\Christian-Benteke,FW,14,2.1,4.9,55,2,9,5
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,6.9,0.8,1.1,45,8,7,3
Sander Berge\Sander-Berge,MF,10.5,0.4,0.5,94,2,26,17
Steven Bergwijn\Steven-Bergwijn,FWMF,7.8,1,1.2,71,4,5,4
Bernard\Bernard,MFFW,14.2,2,1.1,115,6,25,14
Bernardo\Bernardo,DF,7.5,0.2,0.2,71,3,28,16
Ryan Bertrand\Ryan-Bertrand,DF,30.5,3.6,1.7,274,16,48,28
Muhamed Beši?\Muhamed-Besic,MF,2.8,0.1,0.1,28,0,9,6
Philip Billing\Philip-Billing,MF,28.1,1.1,2.5,321,2,76,46
Yves Bissouma\Yves-Bissouma,MF,14,0.2,0.4,157,0,58,36
Willy Boly\Willy-Boly,DF,22,0.3,0.3,218,0,61,40
Gaëtan Bong\Gaetan-Bong,MFDF,0.7,0.1,0,4,1,0,0
Sofiane Boufal\Sofiane-Boufal,MFFW,8.5,2.7,1,69,3,21,12
Jarrod Bowen\Jarrod-Bowen,FW,10.2,2.3,1.8,68,4,19,13
Robbie Brady\Robbie-Brady,MF,5,0.3,1.1,44,1,10,5
Jarrad Branthwaite\Jarrad-Branthwaite,DF,3.3,0,0,24,0,7,7
Claudio Bravo\Claudio-Bravo,GK,3.9,0,0,11,0,0,0
Armando Broja\Armando-Broja,FW,0.1,0,0,0,0,0,0
David Brooks\David-Brooks,MF,5.6,0.4,0.8,26,5,4,3
Josh Brownhill\Josh-Brownhill,MF,8.9,0.1,0.5,104,0,15,8
Emi Buendía\Emi-Buendia,FWMF,27.4,7.2,2.3,232,4,88,58
Dan Burn\Dan-Burn,DF,32,1.2,1.3,308,8,63,36
Sam Byram\Sam-Byram,DF,14.4,0.5,1.1,152,0,46,23
Willy Caballero\Willy-Caballero,GK,5,0,0,17,0,0,0
Gary Cahill\Gary-Cahill,DF,24.1,0.2,1.2,219,0,18,12
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,29.2,1,13.9,102,3,15,11
Víctor Camarasa\Victor-Camarasa,MF,0.1,0,0,0,0,0,0
João Cancelo\Joao-Cancelo,DF,13.4,1.7,0.5,152,3,44,26
Todd Cantwell\Todd-Cantwell,FWMF,27.7,2.7,5.9,179,1,49,29
Étienne Capoue\Etienne-Capoue,MF,29.2,3,0.8,403,1,80,54
Andy Carroll\Andy-Carroll,FW,7,1.7,0.9,43,2,7,1
Jonny Castro\Jonny-Castro,DF,32.1,0.9,1.3,237,5,98,61
Craig Cathcart\Craig-Cathcart,DF,27.6,0,0.3,260,1,37,26
Dani Ceballos\Dani-Ceballos,MF,18.8,1.8,0.5,190,2,49,28
Nathaniel Chalobah\Nathaniel-Chalobah,MF,10.3,1.2,0.5,115,0,33,19
Calum Chambers\Calum-Chambers,DF,12.2,0.7,0.8,123,2,25,18
Ben Chilwell\Ben-Chilwell,DF,26.4,3.5,0.9,241,12,51,26
Tahith Chong\Tahith-Chong,FWMF,0.4,0,0.1,2,0,0,0
Hamza Choudhury\Hamza-Choudhury,MF,9.9,0.1,0.5,104,0,20,13
Andreas Christensen\Andreas-Christensen,DF,19.5,1.1,0.7,173,0,41,20
Ciaran Clark\Ciaran-Clark,DF,13.2,0,1.3,100,0,22,12
Leon Clarke\Leon-Clarke,FWMF,0.4,0,0.4,0,0,0,0
Tom Cleverley\Tom-Cleverley,MF,10.8,0.5,1.6,93,4,27,17
Conor Coady\Conor-Coady,DF,38,0.7,0,387,0,41,22
Séamus Coleman\Seamus-Coleman,DF,20.4,0.5,0.7,211,4,50,31
Aaron Connolly\Aaron-Connolly,FW,14,0.3,3.1,54,0,12,8
Lewis Cook\Lewis-Cook,MF,15,0.9,0.3,168,1,27,16
Steve Cook\Steve-Cook,DF,27,0.3,0.8,286,0,22,13
Jack Cork\Jack-Cork,MF,29,0.7,1.7,339,1,39,27
Aaron Cresswell\Aaron-Cresswell,DF,30.3,2,1.2,295,15,48,29
Patrick Cutrone\Patrick-Cutrone,FW,3.3,0,2.4,25,0,6,4
Diogo Dalot\Diogo-Dalot,DF,0.7,0,0.2,8,0,3,2
Charlie Daniels\Charlie-Daniels,DF,1.4,0.1,0,9,1,1,0
Scott Dann\Scott-Dann,DF,14.1,0.5,0.4,154,0,12,5
Kevin Danso\Kevin-Danso,DF,3.1,0.2,0.1,28,1,8,4
Ben Davies\Ben-Davies,DF,15.9,0.6,0.2,163,6,29,13
Tom Davies\Tom-Davies,MF,22.5,0.3,1.9,252,0,36,18
Keinan Davis\Keinan-Davis,FW,6.1,0.2,1.9,27,0,2,2
Craig Dawson\Craig-Dawson,DF,26.2,0.3,2.1,254,0,30,19
Kevin De Bruyne\Kevin-De-Bruyne,MF,31,18.4,7.6,232,19,44,28
Troy Deeney\Troy-Deeney,FW,24.7,3.4,9.8,119,1,24,17
Fabian Delph\Fabian-Delph,MF,13.2,0.3,0.1,175,4,29,11
Leander Dendoncker\Leander-Dendoncker,MFDF,31.1,0.6,1.7,302,1,68,40
Gerard Deulofeu\Gerard-Deulofeu,FW,23.3,4.6,5.2,164,2,29,21
Eric Dier\Eric-Dier,DFMF,14.9,0.1,1,170,0,25,14
Lucas Digne\Lucas-Digne,DF,33.7,5.7,1.5,363,24,87,39
Virgil van Dijk\Virgil-van-Dijk,DF,38,1.3,2.7,505,0,30,20
Issa Diop\Issa-Diop,DF,30.7,0.8,1.5,306,0,32,16
Moussa Djenepo\Moussa-Djenepo,MFDF,10.3,1.3,2.5,55,2,29,18
Matt Doherty\Matt-Doherty,DF,31.5,1.7,5.1,255,9,65,33
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,35.1,2.6,5,441,4,70,49
Thomas Doyle\Thomas-Doyle,MFFW,0.2,0,0.1,1,0,0,0
